algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,1,14.703703703703704,8.971208328601643,0.03,0.03333333333333333,0,14.703703703703704,8.971208328601643,0.03,0.03333333333333333,0,14.703703703703704,8.971208328601643,0.03333333333333333,0.03333333333333333,16.9333;11.8;16.0333;13;16.1667;13.5667;11.9667;16.2;16.6667,8.98863;8.51039;7.13435;9.09579;9.32768;7.67977;9.69702;8.64639;9.36067,14.3667;15.0667;14.6,16.9333;11.8;16.0333;13;16.1667;13.5667;11.9667;16.2;16.6667,8.98863;8.51039;7.13435;9.09579;9.32768;7.67977;9.69702;8.64639;9.36067,14.3667;15.0667;14.6,16.9333;11.8;16.0333;13;16.1667;13.5667;11.9667;16.2;16.6667,8.98863;8.51039;7.13435;9.09579;9.32768;7.67977;9.69702;8.64639;9.36067,14.3667;15.0667;14.6
IQL,2,15.548148148148147,8.507703279332398,0.02666666666666667,0.035,0,15.548148148148147,8.507703279332398,0.02666666666666667,0.035,0,15.548148148148147,8.507703279332398,0.025925925925925925,0.018518518518518517,17.6;17.2667;15.5667;12.8333;14.3667;15.8;13.9;17;15.6,8.28493;6.46495;9.17491;8.61039;8.58869;7.28652;8.79147;8.51274;9.23255,17.4333;14.2556;15.575,17.6;17.2667;15.5667;12.8333;14.3667;15.8;13.9;17;15.6,8.28493;6.46495;9.17491;8.61039;8.58869;7.28652;8.79147;8.51274;9.23255,17.4333;14.2556;15.575,17.6;17.2667;15.5667;12.8333;14.3667;15.8;13.9;17;15.6,8.28493;6.46495;9.17491;8.61039;8.58869;7.28652;8.79147;8.51274;9.23255,17.4333;14.2556;15.575
QMIX,1,14.666666666666666,9.451239385706296,0.04,0.035,0,14.666666666666666,9.451239385706296,0.04,0.035,0,14.666666666666666,9.451239385706296,0.037037037037037035,0.040740740740740744,14.3333;17.7;13.7667;13.1;13.6667;13.9;14.9;15.6667;14.9667,9.78888;9.64762;9.67362;10.0278;8.92686;8.79526;9.56852;8.00555;9.63841,16.0167;13.5111;14.8583,14.3333;17.7;13.7667;13.1;13.6667;13.9;14.9;15.6667;14.9667,9.78888;9.64762;9.67362;10.0278;8.92686;8.79526;9.56852;8.00555;9.63841,16.0167;13.5111;14.8583,14.3333;17.7;13.7667;13.1;13.6667;13.9;14.9;15.6667;14.9667,9.78888;9.64762;9.67362;10.0278;8.92686;8.79526;9.56852;8.00555;9.63841,16.0167;13.5111;14.8583
QMIX,2,14.937037037037037,8.818316298022065,0.03666666666666667,0.03333333333333333,0,14.937037037037037,8.818316298022065,0.03666666666666667,0.03333333333333333,0,14.937037037037037,8.818316298022065,0.03333333333333333,0.03333333333333333,13.8;13.6;19.0667;15.2;15.3667;10.6667;15.8667;17.7333;13.1333,8.35624;7.70541;8.3264;8.17068;9.39675;8.59199;8.89844;7.88219;8.97676,13.7;16.5444;14.35,13.8;13.6;19.0667;15.2;15.3667;10.6667;15.8667;17.7333;13.1333,8.35624;7.70541;8.3264;8.17068;9.39675;8.59199;8.89844;7.88219;8.97676,13.7;16.5444;14.35,13.8;13.6;19.0667;15.2;15.3667;10.6667;15.8667;17.7333;13.1333,8.35624;7.70541;8.3264;8.17068;9.39675;8.59199;8.89844;7.88219;8.97676,13.7;16.5444;14.35
MAPPO,1,14.766666666666667,8.881170259891721,0.043333333333333335,0.04666666666666667,0,14.766666666666667,8.881170259891721,0.043333333333333335,0.04666666666666667,0,14.766666666666667,8.881170259891721,0.025925925925925925,0.040740740740740744,12;15.9667;16.2667;16.6667;15;15.1667;13.1333;14.3667;14.3333,7.86554;9.45334;7.9033;9.16636;8.56738;9.05937;9.03598;9.30764;8.37987,13.9833;15.9778;14.25,12;15.9667;16.2667;16.6667;15;15.1667;13.1333;14.3667;14.3333,7.86554;9.45334;7.9033;9.16636;8.56738;9.05937;9.03598;9.30764;8.37987,13.9833;15.9778;14.25,12;15.9667;16.2667;16.6667;15;15.1667;13.1333;14.3667;14.3333,7.86554;9.45334;7.9033;9.16636;8.56738;9.05937;9.03598;9.30764;8.37987,13.9833;15.9778;14.25
MAPPO,2,14.722222222222221,8.72590155942017,0.02666666666666667,0.03166666666666667,0,14.722222222222221,8.72590155942017,0.02666666666666667,0.03166666666666667,0,14.722222222222221,8.72590155942017,0.011111111111111112,0.018518518518518517,15.8333;13.5;13.3333;14.8667;14.8667;16.1;14.1;15.7333;14.1667,8.00035;8.09424;8.91191;8.29752;9.54545;8.27587;8.34006;9.61573;8.80562,14.6667;14.3556;15.025,15.8333;13.5;13.3333;14.8667;14.8667;16.1;14.1;15.7333;14.1667,8.00035;8.09424;8.91191;8.29752;9.54545;8.27587;8.34006;9.61573;8.80562,14.6667;14.3556;15.025,15.8333;13.5;13.3333;14.8667;14.8667;16.1;14.1;15.7333;14.1667,8.00035;8.09424;8.91191;8.29752;9.54545;8.27587;8.34006;9.61573;8.80562,14.6667;14.3556;15.025
IQL-GNN,1,14.974074074074075,8.68818237789413,0.035,0.045,0,14.974074074074075,8.68818237789413,0.035,0.045,0,14.974074074074075,8.68818237789413,0.02962962962962963,0.040740740740740744,14.2333;15.2;15.2667;15.5;16.5;15.1333;14.4333;12.8667;15.6333,9.05422;8.17883;8.24594;9.25833;7.88141;7.87288;8.73569;8.18427;10.0448,14.7167;15.7556;14.5167,14.2333;15.2;15.2667;15.5;16.5;15.1333;14.4333;12.8667;15.6333,9.05422;8.17883;8.24594;9.25833;7.88141;7.87288;8.73569;8.18427;10.0448,14.7167;15.7556;14.5167,14.2333;15.2;15.2667;15.5;16.5;15.1333;14.4333;12.8667;15.6333,9.05422;8.17883;8.24594;9.25833;7.88141;7.87288;8.73569;8.18427;10.0448,14.7167;15.7556;14.5167
IQL-GNN,2,14.296296296296296,8.695315106486792,0.03833333333333333,0.02666666666666667,0,14.296296296296296,8.695315106486792,0.03833333333333333,0.02666666666666667,0,14.296296296296296,8.695315106486792,0.044444444444444446,0.018518518518518517,13.5667;15.5333;13.2;14.2;15.3333;14.1333;17.2;12.7333;12.7667,8.63205;8.67077;8.84835;9.5687;7.32727;9.22942;7.9599;7.84828;8.91696,14.55;14.2444;14.2083,13.5667;15.5333;13.2;14.2;15.3333;14.1333;17.2;12.7333;12.7667,8.63205;8.67077;8.84835;9.5687;7.32727;9.22942;7.9599;7.84828;8.91696,14.55;14.2444;14.2083,13.5667;15.5333;13.2;14.2;15.3333;14.1333;17.2;12.7333;12.7667,8.63205;8.67077;8.84835;9.5687;7.32727;9.22942;7.9599;7.84828;8.91696,14.55;14.2444;14.2083
QMIX-GNN,1,15.074074074074074,8.905786408289197,0.03166666666666667,0.035,0,15.074074074074074,8.905786408289197,0.03166666666666667,0.035,0,15.074074074074074,8.905786408289197,0.03333333333333333,0.03333333333333333,13.1333;15.0333;16.2;17.1;16.4667;16.6;16.6667;10.5333;13.9333,9.29779;9.17054;8.55336;7.94292;7.73621;8.56971;9.33214;7.74051;9.42668,14.0833;16.5889;14.4333,13.1333;15.0333;16.2;17.1;16.4667;16.6;16.6667;10.5333;13.9333,9.29779;9.17054;8.55336;7.94292;7.73621;8.56971;9.33214;7.74051;9.42668,14.0833;16.5889;14.4333,13.1333;15.0333;16.2;17.1;16.4667;16.6;16.6667;10.5333;13.9333,9.29779;9.17054;8.55336;7.94292;7.73621;8.56971;9.33214;7.74051;9.42668,14.0833;16.5889;14.4333
QMIX-GNN,2,15.174074074074074,9.033029621486978,0.023333333333333334,0.045,0,15.174074074074074,9.033029621486978,0.023333333333333334,0.045,0,15.174074074074074,9.033029621486978,0.03333333333333333,0.037037037037037035,15.9333;15.5;12;15.1333;15.8333;12.8;16.1667;17.7;15.5,10.1684;8.1148;8.948;10.5285;8.0419;7.66985;8.50131;9.27775;8.24924,15.7167;14.3222;15.5417,15.9333;15.5;12;15.1333;15.8333;12.8;16.1667;17.7;15.5,10.1684;8.1148;8.948;10.5285;8.0419;7.66985;8.50131;9.27775;8.24924,15.7167;14.3222;15.5417,15.9333;15.5;12;15.1333;15.8333;12.8;16.1667;17.7;15.5,10.1684;8.1148;8.948;10.5285;8.0419;7.66985;8.50131;9.27775;8.24924,15.7167;14.3222;15.5417
MAPPO-GNN,1,14.503703703703703,8.913887686637423,0.03833333333333333,0.02666666666666667,0,14.503703703703703,8.913887686637423,0.03833333333333333,0.02666666666666667,0,14.503703703703703,8.913887686637423,0.037037037037037035,0.022222222222222223,15.2;15.7;11.4667;15.5;15.0333;13.5667;16.1667;13.8;14.1,10.0013;7.82368;8.75494;8.10658;8.53027;8.74331;9.91323;8.48685;8.67698,15.45;14;14.4083,15.2;15.7;11.4667;15.5;15.0333;13.5667;16.1667;13.8;14.1,10.0013;7.82368;8.75494;8.10658;8.53027;8.74331;9.91323;8.48685;8.67698,15.45;14;14.4083,15.2;15.7;11.4667;15.5;15.0333;13.5667;16.1667;13.8;14.1,10.0013;7.82368;8.75494;8.10658;8.53027;8.74331;9.91323;8.48685;8.67698,15.45;14;14.4083
MAPPO-GNN,2,14.011111111111111,8.862105482347122,0.03166666666666667,0.03,0,14.011111111111111,8.862105482347122,0.03166666666666667,0.03,0,14.011111111111111,8.862105482347122,0.025925925925925925,0.022222222222222223,13.0667;12.3333;14.1667;14.4333;14.2;13.8333;15.8333;12.3667;15.8667,8.7595;8.74198;7.08088;9.5662;9.04949;10.4054;8.11617;8.19546;8.68229,12.7;14.2667;14.475,13.0667;12.3333;14.1667;14.4333;14.2;13.8333;15.8333;12.3667;15.8667,8.7595;8.74198;7.08088;9.5662;9.04949;10.4054;8.11617;8.19546;8.68229,12.7;14.2667;14.475,13.0667;12.3333;14.1667;14.4333;14.2;13.8333;15.8333;12.3667;15.8667,8.7595;8.74198;7.08088;9.5662;9.04949;10.4054;8.11617;8.19546;8.68229,12.7;14.2667;14.475
